id,project_id,name,image,requires_address,description,delivery_date,available,amount,post_modified,post_date,created_at,updated_at,,,,,,,
4834,483,100,NULL,NULL,A CAIR Coalition original coloring book that we provide to children to help them understand the complex legal process.,NULL,NULL,100,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4835,483,500,NULL,NULL,A set of 24 blank thank you card each with a unique design created by a detained child.,NULL,NULL,500,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4840,484,5,NULL,NULL,A Thank You on our website: www.TheYoungCenter.org,NULL,NULL,5,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4841,484,10,NULL,NULL,"A thank you on our website, Facebook, Twitter, and newsletter.",NULL,NULL,10,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4842,484,50,NULL,NULL,"All the above, plus a Young Center car decal so you can show off your YC love!",NULL,NULL,50,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4843,484,496,NULL,NULL,"If you live in Chicago, or Harlingen, TX, we will treat you to a backer dinner with The Young Center staff to thank you in person! Or, one free ticket to our annual Chicago or New York Benefit.",NULL,NULL,496,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4850,485,30,,NULL,Your help will be recognized in our facebook page.,NULL,NULL,30,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4851,485,70,,NULL,Recieve a thank you note from one of the scholars.,NULL,NULL,70,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4852,485,199,,NULL,With your generous contribution you will provide a scholarship to one Dreamer.,NULL,NULL,199,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4853,485,,NULL,NULL,Your help will be recognized in our social networks.,NULL,NULL,,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4870,487,10,NULL,NULL,You will receive a personal note of thanks from our dedicated children's advocates.,NULL,NULL,10,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4871,487,50,NULL,NULL,"Your contribution will be recognized on LSC's Facebook page where you will be applauded with \Likes\"" and inspire others to give.""",NULL,NULL,50,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
4872,487,100,NULL,NULL,"Your gift will be announced and celebrated at our weekly case intake meetings which we start by sharing accomplishments and adding a \Good News Marble\"" to a big bowl that reminds us of the change we create each and every day.""",NULL,NULL,100,NULL,NULL,2019-06-12 23:13:42,2019-06-12 23:13:42,,,,,,,
